id,Name,Type,Port?,year,year_added,unc_year,DECADE,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,STATENAM,ICPSRSTI,ICPSRCTYI,ICPSRFIP,GISJOIN,GISJOIN2,STATE,COUNTY,PID,X_CENTROID,Y_CENTROID
,Abeville,,"0","1796","1794",,"1800",Abbeville,"450","0010","48","10",ABBEVILLE,South Carolina,"48","10",45001.00000000000,G4500010,"4500010","450","0010",402.00000000000,1242307.21436999994,-283841.66299099999
,Vienna,,"0","1804","2000","1804","1800",Abbeville,"450","0010","48","10",ABBEVILLE,South Carolina,"48","10",45001.00000000000,G4500010,"4500010","450","0010",402.00000000000,1242307.21436999994,-283841.66299099999
,Pinckneyville,,"0","1804","1806","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Fort Adams,,"0","1804","2000","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Natchez,,"0","1804","2000","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Post Office,,"0","1804","2000","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Post OFfice,,"0","1804","2000","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Post Office,,"0","1804","2000","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Post Office,,"0","1804","1803",,"1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Woodville,,"0","1804","2000","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Liberty,,"0","1804","2000","1804","1800",Adams,"285","0015",,,,Mississippi Territory,"0","0",0.00000000000,G2850015,"2850015","285","0015",234.00000000000,462635.69674699998,-680682.52014399995
,Portsmouth,,"0","1804","1805","1804","1800",Adams,"385","0015","24","10",ADAMS,Northwest Territory,"24","10",39001.00000000000,G3850015,"3850015","385","0015",362.00000000000,1099956.72488000011,224242.29802200000
,Manchester,,"0","1804","1800",,"1800",Adams,"385","0015","24","10",ADAMS,Northwest Territory,"24","10",39001.00000000000,G3850015,"3850015","385","0015",362.00000000000,1099956.72488000011,224242.29802200000
,West Union,,"0","1804","1805","1804","1800",Adams,"385","0015","24","10",ADAMS,Northwest Territory,"24","10",39001.00000000000,G3850015,"3850015","385","0015",362.00000000000,1099956.72488000011,224242.29802200000
,Post Office,,"0","1804","2000","1804","1800",Adams,"385","0015","24","10",ADAMS,Northwest Territory,"24","10",39001.00000000000,G3850015,"3850015","385","0015",362.00000000000,1099956.72488000011,224242.29802200000
