Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.Dist,Latitude,Longitude
HAYSVILLE,,HAYSVILLE,KS,JOHNSON,,,Johnson,185,1860,FALSE,8,140906,FALSE,1675,FALSE,,,,,,,,,,,,,
PETERSBURGH,,PETERSBURGH,KS,DONIPHAN,,,Doniphan,185,1859,FALSE,9,153468,TRUE,1674,TRUE,PETERSBURG,DONIPHAN,KS,473057,Populated Place,Petersburg,Doniphan,39.75916,-94.94969,251,0.9090909,39.75916,-94.94969
BUFFALO,,BUFFALO,KS,WILSON,,,Wilson,186,,FALSE,0,128882,TRUE,,TRUE,BUFFALO,WILSON,KS,2692470,Post Office,Buffalo Post Office,Wilson,37.71059,-95.69769,285,1,37.71059,-95.69769
RETREAT,,RETREAT,KS,HODGEMAN,,,Hodgeman,187,1879,FALSE,9,155758,FALSE,1692,FALSE,,,,,,,,,,,,,
GRASS CREEK VILLAGE,,GRASS CREEK VILLAGE,IN,FULTON,,,Fulton,188,1884,TRUE,6,85990,FALSE,1696,FALSE,,,,,,,,,,,,,
BIRD NEST,,BIRD NEST,KS,PAWNEE,,,Pawnee,188,1891,FALSE,6,127329,FALSE,1703,FALSE,,,,,,,,,,,,,
NIX,,NIX,TX,LAMPASAS,,,Lampasas,188,1906,FALSE,5,151022,TRUE,1718,TRUE,NIX,LAMPASAS,TX,2034979,Populated Place,Nix,Lampasas,31.10795,-98.36698,415,1,31.10795,-98.36698
STATE LINE,,STATE LINE,KS,CHEYENNE,,,Cheyenne,188,1886,FALSE,8,160051,FALSE,1698,FALSE,,,,,,,,,,,,,
LAWN,,LAWN,TX,TAYLOR,,,Taylor,189,,FALSE,0,145399,TRUE,,TRUE,LAWN,TAYLOR,TX,2732134,Post Office,Lawn Post Office,Taylor,32.13485,-99.74529,583,1,32.13485,-99.74529
HASSE,,HASSE,TX,COMANCHE,,,Comanche,190,,FALSE,0,140712,TRUE,,TRUE,HASSE,COMANCHE,TX,1378424,Populated Place,Hasse,Comanche,31.93653,-98.48866,366,1,31.93653,-98.48866
LARNED,,LARNED,OK,ROGER MILLS,,,Roger Mills,190,1906,FALSE,6,145252,FALSE,1716,FALSE,,,,,,,,,,,,,
PLUMER,,PLUMER,ND,DIVIDE,,,Divide,190,1923,FALSE,3,154159,TRUE,1733,TRUE,PLUMER,DIVIDE,ND,1759395,Civil,Township of Plumer,Divide,48.76393,-103.3995,628,,48.76393,-103.3995
THUNDER BUTTE,,THUNDER BUTTE,SD,ZIEBACH,,,Ziebach\Corson,190,1910,FALSE,4,161691,TRUE,1720,TRUE,THUNDER BUTTE,ZIEBACH,SD,1258543,Populated Place,Thunder Butte,Ziebach,45.21276,-101.6702,634,1,45.21276,-101.6702
TROUSDALE,,TROUSDALE,OK,POTTAWATOMIE,,,Pottawatomie,190,1967,FALSE,1,162284,TRUE,1777,TRUE,TROUSDALE,POTTAWATOMIE,OK,1100896,Populated Place,Trousdale,Pottawatomie,35.04119,-97.0428,295,1,35.04119,-97.0428
MISSLER,,MISSLER,KS,MEADE,,,Meade,191,1933,FALSE,2,149236,TRUE,1742,TRUE,MISSLER,MEADE,KS,484532,Populated Place,Missler,Meade,37.3178,-100.4351,823,1,37.3178,-100.4351
LAZBUDDIE,,LAZBUDDIE,TX,PARMER,,,Parmer,192,,FALSE,0,145448,TRUE,,TRUE,LAZBUDDIE,PARMER,TX,2731224,Post Office,Lazbuddie Post Office,Parmer,34.38628,-102.6111,1202,1,34.38628,-102.6111
NORBECK,,NORBECK,SD,FAULK,,,Faulk,192,1971,FALSE,1,151114,TRUE,1779,TRUE,NORBECK,FAULK,SD,1256720,Populated Place,Norbeck,Faulk,45.18414,-99.21261,504,1,45.18414,-99.21261
